t,x_original,xdot_original,xdot_pred
0,1,-1.43E-07,-5.06E-07
0.033333333,0.999999713,-1.43E-07,-5.06E-07
0.066666667,0.999999069,-3.22E-07,-5.06E-07
0.1,0.999998144,-4.62E-07,-6.42E-07
0.133333333,0.999996974,-5.85E-07,-7.81E-07
0.166666667,0.999995578,-6.98E-07,-9.04E-07
0.2,0.999993971,-8.03E-07,-1.02E-06
0.233333333,0.999992165,-9.03E-07,-1.13E-06
0.266666667,0.999990168,-9.98E-07,-1.24E-06
0.3,0.999987989,-1.09E-06,-1.34E-06
0.333333333,0.999985633,-1.18E-06,-1.44E-06
0.366666667,0.999983106,-1.26E-06,-1.54E-06
0.4,0.999980412,-1.35E-06,-1.63E-06
0.433333333,0.999977557,-1.43E-06,-1.72E-06
0.466666667,0.999974544,-1.51E-06,-1.81E-06
0.5,0.999971376,-1.58E-06,-1.89E-06
0.533333333,0.999968057,-1.66E-06,-1.98E-06
0.566666667,0.999964589,-1.73E-06,-2.06E-06
0.6,0.999960976,-1.81E-06,-2.14E-06
0.633333333,0.999957219,-1.88E-06,-2.22E-06
0.666666667,0.999953321,-1.95E-06,-2.29E-06
0.7,0.999949285,-2.02E-06,-2.37E-06
0.733333333,0.999945111,-2.09E-06,-2.45E-06
0.766666667,0.999940803,-2.15E-06,-2.52E-06
0.8,0.999936361,-2.22E-06,-2.59E-06
0.833333333,0.999931788,-2.29E-06,-2.66E-06
0.866666667,0.999927085,-2.35E-06,-2.74E-06
0.9,0.999922254,-2.42E-06,-2.81E-06
0.933333333,0.999917296,-2.48E-06,-2.88E-06
0.966666667,0.999912212,-2.54E-06,-2.94E-06
1,0.999907004,-2.60E-06,-3.01E-06
1.033333333,0.999901674,-2.67E-06,-3.08E-06
1.066666667,0.999896221,-2.73E-06,-3.14E-06
1.1,0.999890648,-2.79E-06,-3.21E-06
1.133333333,0.999884955,-2.85E-06,-3.27E-06
1.166666667,0.999879145,-2.91E-06,-3.34E-06
1.2,0.999873216,-2.96E-06,-3.40E-06
1.233333333,0.999867172,-3.02E-06,-3.47E-06
1.266666667,0.999861012,-3.08E-06,-3.53E-06
1.3,0.999854737,-3.14E-06,-3.59E-06
1.333333333,0.999848349,-3.19E-06,-3.65E-06
1.366666667,0.999841848,-3.25E-06,-3.71E-06
1.4,0.999835235,-3.31E-06,-3.77E-06
1.433333333,0.999828511,-3.36E-06,-3.83E-06
