t,x_original,xdot_original,xdot_pred
0,0.001,0,0.003621564
2,0.00100133,3.99E-05,0.003624606
4,0.001005171,0.000115234,0.003633065
6,0.001012314,0.000214288,0.003648891
8,0.001023407,0.000332775,0.003673335
10,0.001039013,0.000468185,0.003707594
12,0.00105964,0.00061881,0.003752532
14,0.001085753,0.000783385,0.003808936
16,0.001117784,0.000960927,0.003877374
18,0.001156138,0.001150638,0.003958453
20,0.0012012,0.001351853,0.00405231
22,0.001253334,0.001564009,0.004159129
24,0.001312888,0.001786617,0.004279254
26,0.001380196,0.002019249,0.004412354
28,0.00145558,0.002261526,0.004558525
30,0.00153935,0.002513105,0.004717463
32,0.001631806,0.00277368,0.004889058
34,0.001733239,0.003042969,0.00507306
36,0.001843929,0.003320715,0.005269096
38,0.001964152,0.003606679,0.005476897
40,0.002094173,0.003900641,0.005696087
42,0.002234253,0.004202395,0.005926497
44,0.002384644,0.004511749,0.006167572
46,0.002545595,0.004828521,0.00641907
48,0.002717346,0.00515254,0.006680753
50,0.002900135,0.005483644,0.00695213
52,0.003094191,0.00582168,0.007233091
54,0.003299741,0.006166499,0.007523187
56,0.003517006,0.006517963,0.00782233
58,0.003746204,0.006875937,0.008130036
60,0.003987547,0.007240291,0.008446168
62,0.004241244,0.007610901,0.008770445
64,0.004507499,0.007987647,0.009102677
66,0.004786512,0.008370413,0.009442618
68,0.005078482,0.008759088,0.009790105
70,0.005383601,0.009153561,0.010144853
72,0.005702058,0.009553726,0.010506723
74,0.006034041,0.009959481,0.010875463
76,0.006379732,0.010370724,0.011251024
78,0.00673931,0.010787357,0.011633171
80,0.007112953,0.011209283,0.012021744
82,0.007500833,0.011636409,0.01241654
84,0.007903121,0.012068642,0.012817479
86,0.008319984,0.01250589,0.013224428
88,0.008751586,0.012948065,0.013637207
90,0.009198089,0.013395079,0.014055699
92,0.009659651,0.013846844,0.014479798
94,0.010136426,0.014303275,0.014909343
96,0.010628569,0.014764289,0.015344239
98,0.011136229,0.015229801,0.015784342
100,0.011659554,0.01569973,0.016229562
102,0.012198687,0.016173993,0.016679771
104,0.01275377,0.01665251,0.017134894
106,0.013324944,0.017135201,0.017594757
108,0.013912343,0.017621986,0.018059336
110,0.014516103,0.018112787,0.01852852
112,0.015136354,0.018607525,0.019002153
114,0.015773225,0.019106123,0.01948018
116,0.016426841,0.019608504,0.019962499
118,0.017097328,0.02011459,0.020449005
120,0.017784805,0.020624305,0.02093961
122,0.01848939,0.021137572,0.021434184
124,0.019211201,0.021654317,0.02193272
126,0.01995035,0.022174464,0.02243509
128,0.020706948,0.022697937,0.02294121
130,0.021481103,0.023224661,0.02345096
132,0.022272922,0.023754561,0.023964308
134,0.023082507,0.024287563,0.024481094
136,0.02390996,0.024823592,0.025001321
138,0.024755379,0.025362574,0.025524816
140,0.02561886,0.025904434,0.026051572
142,0.026500497,0.026449098,0.026581489
144,0.02740038,0.026996492,0.027114427
146,0.028318598,0.027546542,0.027650364
148,0.029255237,0.028099175,0.0281892
150,0.030210381,0.028654315,0.028730871
152,0.031184111,0.029211889,0.029275289
154,0.032176505,0.029771823,0.02982233
156,0.03318764,0.030334043,0.030371968
158,0.034217589,0.030898476,0.030924113
160,0.035266424,0.031465046,0.03147865
162,0.036334213,0.032033681,0.03203556
164,0.037421023,0.032604306,0.032594725
