t,x_original,xdot_original,xdot_pred
0,0,0.003144995,0.002939897
0.033333333,0.00628999,0.003144995,0.003341466
0.066666667,0.012802222,0.003256116,0.003356211
0.1,0.019373717,0.003285748,0.003355349
0.133333333,0.025968106,0.003297195,0.003348005
0.166666667,0.032567812,0.003299853,0.003337093
0.2,0.039162377,0.003297282,0.00332393
0.233333333,0.045744858,0.003291241,0.003309229
0.266666667,0.05231032,0.003282731,0.003293418
0.3,0.058855085,0.003272383,0.003276781
0.333333333,0.065376322,0.003260618,0.00325951
0.366666667,0.071871794,0.003247736,0.003241747
0.4,0.078339703,0.003233954,0.003223596
0.433333333,0.084778577,0.003219437,0.003205136
0.466666667,0.091187203,0.003204313,0.003186431
0.5,0.097564569,0.003188683,0.00316753
0.533333333,0.103909825,0.003172628,0.003148475
0.566666667,0.110222257,0.003156216,0.003129299
0.6,0.11650126,0.003139501,0.00311003
0.633333333,0.122746321,0.003122531,0.003090692
0.666666667,0.128957007,0.003105343,0.003071306
0.7,0.135132951,0.003087972,0.003051886
0.733333333,0.141273844,0.003070447,0.00303245
0.766666667,0.147379428,0.003052792,0.00301301
0.8,0.153449487,0.00303503,0.002993577
0.833333333,0.159483846,0.003017179,0.00297416
0.866666667,0.16548236,0.002999257,0.00295477
0.9,0.171444918,0.002981279,0.002935412
0.933333333,0.177371433,0.002963258,0.002916094
0.966666667,0.183261844,0.002945205,0.002896823
1,0.189116108,0.002927132,0.002877604
1.033333333,0.194934206,0.002909049,0.002858442
1.066666667,0.200716132,0.002890963,0.00283934
1.1,0.206461898,0.002872883,0.002820303
1.133333333,0.212171531,0.002854816,0.002801335
1.166666667,0.217845068,0.002836769,0.002782438
1.2,0.22348256,0.002818746,0.002763616
1.233333333,0.22908407,0.002800755,0.002744871
1.266666667,0.234649667,0.002782799,0.002726206
1.3,0.240179432,0.002764883,0.002707623
1.333333333,0.245673453,0.002747011,0.002689123
1.366666667,0.251131827,0.002729187,0.002670708
1.4,0.256554656,0.002711414,0.002652381
1.433333333,0.261942049,0.002693697,0.002634142
1.466666667,0.267294122,0.002676036,0.002615992
1.5,0.272610995,0.002658437,0.002597934
1.533333333,0.277892794,0.002640899,0.002579968
1.566666667,0.283139649,0.002623427,0.002562094
1.6,0.288351693,0.002606022,0.002544314
1.633333333,0.293529066,0.002588686,0.002526629
1.666666667,0.298671909,0.002571422,0.002509038
1.7,0.303780368,0.002554229,0.002491544
1.733333333,0.308854589,0.002537111,0.002474146
1.766666667,0.313894725,0.002520068,0.002456844
1.8,0.318900929,0.002503102,0.00243964
1.833333333,0.323873356,0.002486214,0.002422533
1.866666667,0.328812166,0.002469405,0.002405524
1.9,0.333717517,0.002452676,0.002388613
1.933333333,0.338589572,0.002436027,0.0023718
1.966666667,0.343428494,0.002419461,0.002355085
2,0.348234448,0.002402977,0.002338469
2.033333333,0.353007602,0.002386577,0.002321951
2.066666667,0.357748121,0.00237026,0.002305532
2.1,0.362456177,0.002354028,0.002289211
2.133333333,0.367131937,0.00233788,0.002272989
2.166666667,0.371775574,0.002321818,0.002256865
2.2,0.376387259,0.002305842,0.00224084
2.233333333,0.380967164,0.002289952,0.002224913
2.266666667,0.385515461,0.002274149,0.002209083
2.3,0.390032326,0.002258432,0.002193352
2.333333333,0.394517932,0.002242803,0.002177719
2.366666667,0.398972452,0.00222726,0.002162183
2.4,0.403396063,0.002211805,0.002146745
2.433333333,0.407788939,0.002196438,0.002131404
2.466666667,0.412151256,0.002181158,0.002116159
2.5,0.416483188,0.002165966,0.002101012
2.533333333,0.420784912,0.002150862,0.00208596
2.566666667,0.425056603,0.002135845,0.002071005
