t,x_original,xdot_original,xdot_pred
0,0.001,0.000108773,0.000100681
2,0.001217547,0.000108773,0.000100662
4,0.001435047,0.00010875,0.000100643
6,0.001652499,0.000108726,0.000100624
8,0.001869904,0.000108702,0.000100605
10,0.002087261,0.000108679,0.000100586
12,0.002304571,0.000108655,0.000100568
14,0.002521834,0.000108631,0.000100549
16,0.00273905,0.000108608,0.00010053
18,0.002956218,0.000108584,0.000100511
20,0.003173339,0.00010856,0.000100492
22,0.003390413,0.000108537,0.000100473
24,0.003607439,0.000108513,0.000100454
26,0.003824418,0.00010849,0.000100435
28,0.00404135,0.000108466,0.000100416
30,0.004258235,0.000108442,0.000100397
32,0.004475072,0.000108419,0.000100378
34,0.004691863,0.000108395,0.000100359
36,0.004908606,0.000108372,0.00010034
38,0.005125302,0.000108348,0.000100321
40,0.00534195,0.000108324,0.000100302
42,0.005558552,0.000108301,0.000100283
44,0.005775106,0.000108277,0.000100264
46,0.005991613,0.000108254,0.000100246
48,0.006208073,0.00010823,0.000100227
50,0.006424486,0.000108206,0.000100208
52,0.006640852,0.000108183,0.000100189
54,0.00685717,0.000108159,0.00010017
56,0.007073442,0.000108136,0.000100151
58,0.007289666,0.000108112,0.000100132
60,0.007505843,0.000108089,0.000100113
62,0.007721974,0.000108065,0.000100094
64,0.007938057,0.000108042,0.000100075
66,0.008154093,0.000108018,0.000100057
68,0.008370082,0.000107995,0.000100038
70,0.008586024,0.000107971,0.000100019
72,0.008801919,0.000107948,1.00E-04
74,0.009017767,0.000107924,1.00E-04
76,0.009233568,0.0001079,1.00E-04
78,0.009449322,0.000107877,9.99E-05
80,0.009665029,0.000107854,9.99E-05
82,0.009880689,0.00010783,9.99E-05
84,0.010096302,0.000107807,9.99E-05
86,0.010311868,0.000107783,9.99E-05
88,0.010527387,0.00010776,9.98E-05
90,0.01074286,0.000107736,9.98E-05
92,0.010958285,0.000107713,9.98E-05
94,0.011173663,0.000107689,9.98E-05
96,0.011388995,0.000107666,9.98E-05
98,0.011604279,0.000107642,9.98E-05
100,0.011819517,0.000107619,9.97E-05
102,0.012034708,0.000107595,9.97E-05
104,0.012249852,0.000107572,9.97E-05
106,0.012464949,0.000107549,9.97E-05
108,0.012679999,0.000107525,9.97E-05
110,0.012895003,0.000107502,9.96E-05
112,0.01310996,0.000107478,9.96E-05
114,0.013324869,0.000107455,9.96E-05
116,0.013539732,0.000107432,9.96E-05
118,0.013754549,0.000107408,9.96E-05
120,0.013969318,0.000107385,9.95E-05
122,0.014184041,0.000107361,9.95E-05
124,0.014398717,0.000107338,9.95E-05
126,0.014613346,0.000107315,9.95E-05
128,0.014827929,0.000107291,9.95E-05
130,0.015042464,0.000107268,9.95E-05
132,0.015256953,0.000107245,9.94E-05
134,0.015471396,0.000107221,9.94E-05
136,0.015685791,0.000107198,9.94E-05
138,0.01590014,0.000107174,9.94E-05
140,0.016114442,0.000107151,9.94E-05
142,0.016328698,0.000107128,9.93E-05
144,0.016542907,0.000107104,9.93E-05
146,0.016757069,0.000107081,9.93E-05
148,0.016971185,0.000107058,9.93E-05
150,0.017185254,0.000107035,9.93E-05
152,0.017399276,0.000107011,9.92E-05
154,0.017613252,0.000106988,9.92E-05
156,0.017827181,0.000106965,9.92E-05
158,0.018041064,0.000106941,9.92E-05
160,0.0182549,0.000106918,9.92E-05
162,0.018468689,0.000106895,9.92E-05
164,0.018682432,0.000106871,9.91E-05
166,0.018896129,0.000106848,9.91E-05
168,0.019109778,0.000106825,9.91E-05
170,0.019323382,0.000106802,9.91E-05
172,0.019536939,0.000106778,9.91E-05
174,0.019750449,0.000106755,9.90E-05
176,0.019963913,0.000106732,9.90E-05
178,0.02017733,0.000106709,9.90E-05
180,0.020390701,0.000106685,9.90E-05
182,0.020604025,0.000106662,9.90E-05
184,0.020817303,0.000106639,9.89E-05
186,0.021030534,0.000106616,9.89E-05
188,0.021243719,0.000106593,9.89E-05
190,0.021456858,0.000106569,9.89E-05
192,0.02166995,0.000106546,9.89E-05
194,0.021882996,0.000106523,9.89E-05
196,0.022095995,0.0001065,9.88E-05
198,0.022308948,0.000106477,9.88E-05
200,0.022521855,0.000106453,9.88E-05
202,0.022734715,0.00010643,9.88E-05
204,0.022947529,0.000106407,9.88E-05
206,0.023160297,0.000106384,9.87E-05
208,0.023373018,0.000106361,9.87E-05
210,0.023585693,0.000106337,9.87E-05
212,0.023798322,0.000106314,9.87E-05
214,0.024010904,0.000106291,9.87E-05
216,0.02422344,0.000106268,9.87E-05
218,0.02443593,0.000106245,9.86E-05
220,0.024648373,0.000106222,9.86E-05
222,0.02486077,0.000106199,9.86E-05
224,0.025073121,0.000106175,9.86E-05
226,0.025285426,0.000106152,9.86E-05
228,0.025497684,0.000106129,9.85E-05
230,0.025709897,0.000106106,9.85E-05
232,0.025922063,0.000106083,9.85E-05
