t,x_original,xdot_original,xdot_pred
0,0.001,0.001768365,0.001773767
2,0.00453673,0.001768365,0.001767903
4,0.008060939,0.001762105,0.001761802
6,0.011572672,0.001755866,0.001755664
8,0.015071972,0.00174965,0.001749521
10,0.018558883,0.001743456,0.001743384
12,0.02203345,0.001737283,0.001737259
14,0.025495716,0.001731133,0.001731148
16,0.028945725,0.001725004,0.001725054
18,0.03238352,0.001718897,0.001718977
20,0.035809144,0.001712812,0.001712919
22,0.03922264,0.001706748,0.001706879
24,0.042624052,0.001700706,0.001700859
26,0.046013421,0.001694685,0.001694858
28,0.049390792,0.001688685,0.001688876
30,0.052756205,0.001682707,0.001682915
32,0.056109705,0.00167675,0.001676974
34,0.059451331,0.001670813,0.001671052
36,0.062781128,0.001664898,0.001665151
38,0.066099136,0.001659004,0.001659269
40,0.069405398,0.001653131,0.001653408
42,0.072699954,0.001647278,0.001647567
44,0.075982847,0.001641446,0.001641746
46,0.079254118,0.001635635,0.001635945
48,0.082513807,0.001629845,0.001630164
50,0.085761956,0.001624075,0.001624403
52,0.088998606,0.001618325,0.001618662
54,0.092223798,0.001612596,0.001612941
56,0.095437571,0.001606887,0.001607239
58,0.098639966,0.001601198,0.001601558
60,0.101831025,0.001595529,0.001595896
62,0.105010786,0.001589881,0.001590254
64,0.108179289,0.001584252,0.001584632
66,0.111336576,0.001578643,0.00157903
68,0.114482685,0.001573054,0.001573447
70,0.117617655,0.001567485,0.001567883
72,0.120741528,0.001561936,0.001562339
74,0.12385434,0.001556406,0.001556815
76,0.126956133,0.001550896,0.00155131
78,0.130046944,0.001545406,0.001545824
80,0.133126813,0.001539935,0.001540357
82,0.136195779,0.001534483,0.00153491
84,0.139253879,0.00152905,0.001529482
86,0.142301153,0.001523637,0.001524072
88,0.145337639,0.001518243,0.001518682
90,0.148363375,0.001512868,0.001513311
92,0.151378399,0.001507512,0.001507958
94,0.154382749,0.001502175,0.001502625
96,0.157376462,0.001496857,0.00149731
98,0.160359578,0.001491558,0.001492014
100,0.163332132,0.001486277,0.001486736
102,0.166294162,0.001481015,0.001481477
104,0.169245706,0.001475772,0.001476237
106,0.172186801,0.001470547,0.001471015
108,0.175117484,0.001465341,0.001465811
110,0.178037791,0.001460154,0.001460626
112,0.180947759,0.001454984,0.001455459
114,0.183847426,0.001449833,0.001450311
116,0.186736827,0.0014447,0.00144518
118,0.189615998,0.001439586,0.001440067
120,0.192484977,0.001434489,0.001434973
122,0.195343798,0.001429411,0.001429896
124,0.198192499,0.00142435,0.001424838
126,0.201031114,0.001419308,0.001419797
128,0.20385968,0.001414283,0.001414774
130,0.206678232,0.001409276,0.001409769
132,0.209486805,0.001404287,0.001404781
134,0.212285436,0.001399315,0.001399811
136,0.215074158,0.001394361,0.001394858
138,0.217853008,0.001389425,0.001389923
140,0.22062202,0.001384506,0.001385006
142,0.223381229,0.001379604,0.001380106
144,0.226130669,0.00137472,0.001375223
146,0.228870376,0.001369853,0.001370357
148,0.231600383,0.001365004,0.001365508
150,0.234320726,0.001360171,0.001360677
152,0.237031437,0.001355356,0.001355862
154,0.239732552,0.001350558,0.001351065
156,0.242424105,0.001345776,0.001346285
158,0.245106128,0.001341012,0.001341521
160,0.247778657,0.001336264,0.001336774
162,0.250441724,0.001331533,0.001332044
164,0.253095363,0.001326819,0.001327331
166,0.255739607,0.001322122,0.001322634
168,0.25837449,0.001317442,0.001317954
170,0.261000045,0.001312777,0.001313291
172,0.263616304,0.00130813,0.001308644
174,0.266223302,0.001303499,0.001304013
176,0.26882107,0.001298884,0.001299399
178,0.271409641,0.001294286,0.001294801
180,0.273989048,0.001289703,0.001290219
182,0.276559323,0.001285138,0.001285654
184,0.279120498,0.001280588,0.001281104
186,0.281672607,0.001276054,0.001276571
188,0.28421568,0.001271537,0.001272054
190,0.28674975,0.001267035,0.001267552
192,0.289274849,0.001262549,0.001263067
194,0.291791008,0.00125808,0.001258597
196,0.294298259,0.001253626,0.001254144
198,0.296796634,0.001249187,0.001249705
200,0.299286164,0.001244765,0.001245283
202,0.301766881,0.001240358,0.001240877
204,0.304238815,0.001235967,0.001236485
206,0.306701998,0.001231591,0.00123211
208,0.30915646,0.001227231,0.00122775
210,0.311602233,0.001222886,0.001223405
212,0.314039347,0.001218557,0.001219075
214,0.316467833,0.001214243,0.001214761
216,0.318887722,0.001209944,0.001210463
218,0.321299044,0.001205661,0.001206179
220,0.323701829,0.001201392,0.00120191
222,0.326096107,0.001197139,0.001197657
224,0.328481909,0.001192901,0.001193419
226,0.330859265,0.001188678,0.001189195
228,0.333228204,0.00118447,0.001184987
230,0.335588756,0.001180276,0.001180793
232,0.337940952,0.001176098,0.001176614
234,0.34028482,0.001171934,0.00117245
236,0.34262039,0.001167785,0.001168301
238,0.344947691,0.001163651,0.001164167
240,0.347266754,0.001159531,0.001160047
242,0.349577606,0.001155426,0.001155941
244,0.351880277,0.001151336,0.00115185
246,0.354174796,0.00114726,0.001147774
248,0.356461192,0.001143198,0.001143712
250,0.358739493,0.001139151,0.001139664
252,0.361009729,0.001135118,0.001135631
254,0.363271927,0.001131099,0.001131612
256,0.365526117,0.001127095,0.001127607
258,0.367772326,0.001123105,0.001123616
260,0.370010583,0.001119128,0.00111964
262,0.372240916,0.001115166,0.001115677
264,0.374463353,0.001111218,0.001111729
266,0.376677921,0.001107284,0.001107794
268,0.37888465,0.001103364,0.001103874
270,0.381083566,0.001099458,0.001099967
272,0.383274698,0.001095566,0.001096074
274,0.385458072,0.001091687,0.001092195
276,0.387633717,0.001087822,0.00108833
278,0.389801659,0.001083971,0.001084478
280,0.391961926,0.001080134,0.00108064
282,0.394114545,0.00107631,0.001076815
284,0.396259544,0.001072499,0.001073004
286,0.398396948,0.001068702,0.001069206
288,0.400526786,0.001064919,0.001065422
290,0.402649083,0.001061149,0.001061652
292,0.404763867,0.001057392,0.001057894
294,0.406871164,0.001053648,0.00105415
296,0.408971,0.001049918,0.001050419
298,0.411063402,0.001046201,0.001046702
300,0.413148397,0.001042497,0.001042997
302,0.415226011,0.001038807,0.001039306
304,0.417296269,0.001035129,0.001035627
306,0.419359197,0.001031464,0.001031962
308,0.421414823,0.001027813,0.001028309
310,0.423463171,0.001024174,0.00102467
312,0.425504267,0.001020548,0.001021043
314,0.427538137,0.001016935,0.00101743
316,0.429564807,0.001013335,0.001013829
318,0.431584302,0.001009747,0.00101024
320,0.433596647,0.001006173,0.001006665
322,0.435601868,0.001002611,0.001003102
324,0.43759999,0.000999061,0.000999552
326,0.439591038,0.000995524,0.000996014
328,0.441575038,0.000992,0.000992489
330,0.443552013,0.000988488,0.000988976
332,0.445521989,0.000984988,0.000985476
334,0.447484991,0.000981501,0.000981988
336,0.449441044,0.000978026,0.000978512
338,0.451390172,0.000974564,0.000975049
340,0.453332399,0.000971114,0.000971598
342,0.45526775,0.000967676,0.000968159
344,0.457196249,0.00096425,0.000964732
346,0.459117921,0.000960836,0.000961318
348,0.46103279,0.000957434,0.000957915
350,0.46294088,0.000954045,0.000954525
352,0.464842214,0.000950667,0.000951146
354,0.466736817,0.000947302,0.00094778
356,0.468624713,0.000943948,0.000944425
358,0.470505926,0.000940606,0.000941083
360,0.472380478,0.000937276,0.000937752
362,0.474248394,0.000933958,0.000934433
364,0.476109696,0.000930651,0.000931125
366,0.47796441,0.000927357,0.00092783
368,0.479812557,0.000924074,0.000924546
370,0.481654161,0.000920802,0.000921273
372,0.483489245,0.000917542,0.000918012
374,0.485317833,0.000914294,0.000914763
376,0.487139947,0.000911057,0.000911526
378,0.488955611,0.000907832,0.000908299
380,0.490764846,0.000904618,0.000905084
382,0.492567676,0.000901415,0.000901881
384,0.494364124,0.000898224,0.000898689
386,0.496154211,0.000895044,0.000895508
388,0.497937962,0.000891875,0.000892338
390,0.499715397,0.000888718,0.00088918
392,0.50148654,0.000885571,0.000886033
394,0.503251412,0.000882436,0.000882896
396,0.505010037,0.000879312,0.000879771
398,0.506762435,0.000876199,0.000876657
400,0.508508629,0.000873097,0.000873555
402,0.510248642,0.000870006,0.000870463
404,0.511982494,0.000866926,0.000867382
406,0.513710208,0.000863857,0.000864311
408,0.515431805,0.000860799,0.000861252
410,0.517147308,0.000857751,0.000858204
412,0.518856737,0.000854715,0.000855166
414,0.520560114,0.000851689,0.000852139
416,0.522257461,0.000848673,0.000849123
418,0.523948798,0.000845669,0.000846118
420,0.525634148,0.000842675,0.000843123
422,0.527313532,0.000839692,0.000840139
424,0.52898697,0.000836719,0.000837165
426,0.530654483,0.000833757,0.000834202
428,0.532316093,0.000830805,0.000831249
430,0.533971821,0.000827864,0.000828307
432,0.535621686,0.000824933,0.000825375
434,0.537265711,0.000822012,0.000822453
436,0.538903916,0.000819102,0.000819542
438,0.540536321,0.000816202,0.000816641
440,0.542162946,0.000813313,0.000813751
442,0.543783813,0.000810433,0.000810871
444,0.545398942,0.000807564,0.000808
446,0.547008353,0.000804705,0.000805141
448,0.548612065,0.000801856,0.000802291
450,0.550210101,0.000799018,0.000799451
452,0.551802479,0.000796189,0.000796621
454,0.553389219,0.00079337,0.000793801
456,0.554970342,0.000790561,0.000790992
458,0.556545867,0.000787763,0.000788192
460,0.558115815,0.000784974,0.000785402
462,0.559680204,0.000782195,0.000782622
464,0.561239056,0.000779426,0.000779852
466,0.562792388,0.000776666,0.000777092
468,0.564340221,0.000773917,0.000774341
470,0.565882574,0.000771177,0.0007716
472,0.567419468,0.000768447,0.000768869
474,0.56895092,0.000765726,0.000766147
476,0.57047695,0.000763015,0.000763435
478,0.571997578,0.000760314,0.000760733
480,0.573512822,0.000757622,0.00075804
482,0.575022702,0.00075494,0.000755357
484,0.576527236,0.000752267,0.000752684
486,0.578026444,0.000749604,0.000750019
488,0.579520345,0.00074695,0.000747365
490,0.581008957,0.000744306,0.000744719
492,0.582492298,0.000741671,0.000742083
494,0.583970388,0.000739045,0.000739456
496,0.585443246,0.000736429,0.000736839
498,0.586910889,0.000733822,0.000734231
500,0.588373336,0.000731224,0.000731632
502,0.589830606,0.000728635,0.000729042
504,0.591282716,0.000726055,0.000726462
506,0.592729686,0.000723485,0.00072389
508,0.594171533,0.000720924,0.000721328
