t,x_original,xdot_original,xdot_pred
0,0.001,0.01268799,0.013074632
2,0.026375981,0.01268799,0.012610167
4,0.050873053,0.012248536,0.01216705
6,0.074529657,0.011828302,0.011744062
8,0.097382212,0.011426277,0.011340073
10,0.119465231,0.01104151,0.010954029
12,0.140811444,0.010673106,0.01058494
14,0.161451903,0.010320229,0.010231891
16,0.181416081,0.009982089,0.009894018
18,0.200731971,0.009657945,0.009570517
20,0.219426166,0.009347097,0.009260635
22,0.237523945,0.00904889,0.008963665
24,0.255049348,0.008762702,0.008678942
26,0.272025248,0.00848795,0.008405847
28,0.288473414,0.008224083,0.008143794
30,0.304414576,0.007970581,0.007892235
32,0.319868482,0.007726953,0.007650654
34,0.334853953,0.007492735,0.007418561
36,0.349388932,0.00726749,0.007195502
38,0.363490536,0.007050802,0.006981046
40,0.377175094,0.006842279,0.006774782
42,0.390458196,0.006641551,0.006576329
44,0.403354727,0.006448266,0.006385324
46,0.415878908,0.00626209,0.006201424
48,0.428044327,0.00608271,0.006024305
50,0.439863976,0.005909824,0.005853661
52,0.451350277,0.005743151,0.005689202
54,0.462515117,0.00558242,0.005530655
56,0.473369869,0.005427376,0.005377758
58,0.48392542,0.005277776,0.005230265
60,0.494192199,0.005133389,0.005087944
62,0.504180193,0.004993997,0.004950573
64,0.513898975,0.004859391,0.00481794
66,0.523357719,0.004729372,0.004689848
68,0.532565223,0.004603752,0.004566104
70,0.541529927,0.004482352,0.004446529
72,0.550259925,0.004364999,0.004330953
74,0.55876299,0.004251532,0.004219212
76,0.567046582,0.004141796,0.00411115
78,0.575117864,0.004035641,0.00400662
80,0.582983719,0.003932927,0.00390548
82,0.590650759,0.00383352,0.003807598
84,0.59812534,0.003737291,0.003712844
86,0.605413574,0.003644117,0.003621098
88,0.612521335,0.003553881,0.003532241
90,0.619454278,0.003466471,0.003446166
92,0.62621784,0.003381781,0.003362764
94,0.632817257,0.003299708,0.003281935
96,0.639257568,0.003220155,0.003203582
98,0.645543625,0.003143029,0.003127612
100,0.651680102,0.003068239,0.003053938
102,0.657671503,0.0029957,0.002982475
104,0.663522166,0.002925332,0.002913142
106,0.669236275,0.002857054,0.002845863
108,0.674817861,0.002790793,0.002780562
110,0.680270813,0.002726476,0.00271717
112,0.685598882,0.002664035,0.002655617
114,0.690805687,0.002603402,0.002595842
116,0.69589472,0.002544517,0.002537778
118,0.700869352,0.002487316,0.002481369
120,0.705732836,0.002431742,0.002426555
122,0.710488317,0.00237774,0.002373282
124,0.715138828,0.002325255,0.002321498
126,0.719687301,0.002274237,0.002271153
128,0.724136571,0.002224635,0.002222196
130,0.728489375,0.002176402,0.002174583
132,0.732748359,0.002129492,0.002128269
134,0.736916084,0.002083862,0.002083209
136,0.740995024,0.00203947,0.002039362
138,0.744987573,0.001996274,0.001996691
140,0.748896046,0.001954237,0.001955154
142,0.752722685,0.001913319,0.001914718
144,0.756469658,0.001873487,0.001875345
146,0.760139065,0.001834703,0.001837002
148,0.763732937,0.001796936,0.001799657
150,0.767253244,0.001760153,0.001763277
152,0.770701891,0.001724323,0.001727831
154,0.774080724,0.001689417,0.001693293
156,0.777391533,0.001655404,0.001659632
158,0.780636051,0.001622259,0.001626823
160,0.783815959,0.001589954,0.001594838
162,0.786932885,0.001558463,0.001563653
164,0.789988408,0.001527762,0.001533244
166,0.792984061,0.001497826,0.001503586
168,0.795921327,0.001468633,0.001474657
170,0.798801648,0.00144016,0.001446437
172,0.801626421,0.001412387,0.001418903
174,0.804397002,0.001385291,0.001392036
176,0.807114709,0.001358853,0.001365815
178,0.809780818,0.001333055,0.001340222
180,0.81239657,0.001307876,0.001315238
182,0.814963169,0.001283299,0.001290848
184,0.817481784,0.001259308,0.001267032
186,0.819953551,0.001235884,0.001243774
188,0.822379575,0.001213012,0.001221059
190,0.824760926,0.001190675,0.001198872
192,0.827098646,0.00116886,0.001177197
194,0.829393747,0.001147551,0.00115602
196,0.831647214,0.001126733,0.001135327
198,0.833860003,0.001106394,0.001115106
200,0.836033043,0.00108652,0.001095341
202,0.838167239,0.001067098,0.001076022
204,0.84026347,0.001048116,0.001057137
206,0.842322592,0.001029561,0.001038672
208,0.844345435,0.001011422,0.001020617
210,0.84633281,0.000993688,0.001002962
212,0.848285505,0.000976347,0.000985695
214,0.850204285,0.00095939,0.000968805
216,0.852089897,0.000942806,0.000952283
218,0.853943066,0.000926585,0.000936119
220,0.855764501,0.000910717,0.000920304
222,0.857554888,0.000895194,0.000904828
224,0.859314898,0.000880005,0.000889684
226,0.861045185,0.000865143,0.000874861
228,0.862746383,0.000850599,0.000860352
230,0.864419113,0.000836365,0.000846149
232,0.866063977,0.000822432,0.000832244
234,0.867681564,0.000808793,0.000818629
236,0.869272446,0.000795441,0.000805297
238,0.870837182,0.000782368,0.000792242
240,0.872376316,0.000769567,0.000779455
242,0.873890379,0.000757032,0.00076693
244,0.875379888,0.000744755,0.000754662
246,0.876845348,0.00073273,0.000742642
248,0.87828725,0.000720951,0.000730866
250,0.879706074,0.000709412,0.000719327
252,0.881102288,0.000698107,0.00070802
254,0.882476348,0.00068703,0.000696939
256,0.8838287,0.000676176,0.000686077
258,0.885159779,0.000665539,0.000675431
