t,x,xdot,xdot_pred
1.0,0.0005,0.00050968,0.0003719692872277546
2.0,0.001,0.00052324,0.00042323379910998534
3.0,0.0016,0.00053671,0.0004618480260476657
4.0,0.0021,0.00054949,0.00048571070237344655
5.0,0.0026,0.00056227,0.0005052641348242432
6.0,0.0032,0.00057443,0.0005249741103213228
7.0,0.0038,0.00058616,0.0005418159255965053
8.0,0.0044,0.00059605,0.0005565650692396534
9.0,0.005,0.00060604,0.0005697131027662575
10.0,0.0056,0.00061562,0.0005815925325348705
11.0,0.0062,0.00062469,0.0005924394588539252
12.0,0.0068,0.00063304,0.0006024279661931395
13.0,0.0075,0.00064157,0.0006131710522729689
14.0,0.0081,0.00064985,0.0006217149250577435
15.0,0.0088,0.0006579,0.0006310186573248085
16.0,0.0094,0.00066508,0.0006384961655082509
17.0,0.0101,0.00067226,0.0006467118412364895
18.0,0.0108,0.00067918,0.0006544436293215943
19.0,0.0115,0.00068599,0.0006617466014715009
20.0,0.0122,0.00069193,0.0006686666326254575
21.0,0.0129,0.00069812,0.000675242368575637
22.0,0.0136,0.00070428,0.0006815066901331212
23.0,0.0143,0.00071039,0.0006874878216302541
24.0,0.015,0.00071604,0.0006932101831318103
25.0,0.0157,0.0007217,0.0006986950546693487
26.0,0.0164,0.00072721,0.0007039611004010992
27.0,0.0172,0.00073262,0.0007097325241825195
28.0,0.0179,0.0007375,0.0007145827325702399
29.0,0.0186,0.00074246,0.0007192599522214015
30.0,0.0194,0.00074735,0.0007244081968368765
31.0,0.0201,0.00075216,0.0007287519173871291
32.0,0.0209,0.00075648,0.0007335445171273344
33.0,0.0216,0.00076081,0.0007375971481639206
34.0,0.0224,0.00076499,0.0007420777547684903
35.0,0.0232,0.00076907,0.0007464070205906861
36.0,0.0239,0.00077256,0.000750078222399577
37.0,0.0247,0.00077613,0.0007541478092767795
38.0,0.0255,0.00077959,0.0007580902588091664
39.0,0.0263,0.00078294,0.0007619125864360613
40.0,0.0271,0.00078586,0.000765621217394477
41.0,0.0278,0.00078891,0.0007687776530860781
42.0,0.0286,0.00079192,0.0007722886373906821
43.0,0.0294,0.00079496,0.000775701666191612
44.0,0.0302,0.00079773,0.0007790214215635081
45.0,0.031,0.00080051,0.0007822522423072241
46.0,0.0318,0.00080318,0.0007853981572953465
47.0,0.0326,0.00080576,0.0007884629148260401
48.0,0.0334,0.00080796,0.0007914500085486443
49.0,0.0342,0.00081026,0.000794362700433417
50.0,0.0351,0.00081255,0.0007975543362125548
51.0,0.0359,0.00081471,0.0008003188137198006
52.0,0.0367,0.00081656,0.0008030178019308452
53.0,0.0375,0.00081848,0.0008056538000537863
54.0,0.0383,0.00082039,0.0008082291596544042
55.0,0.0391,0.00082228,0.000810746096277941
56.0,0.04,0.00082403,0.0008135104140007406
57.0,0.0408,0.00082585,0.000815909997146288
58.0,0.0416,0.00082756,0.0008182573139750956
59.0,0.0424,0.00082922,0.0008205541194275482
60.0,0.0433,0.00083095,0.0008230797162608402
61.0,0.0441,0.00083266,0.0008252746015748842
62.0,0.0449,0.00083436,0.0008274238972299761
63.0,0.0458,0.00083609,0.0008297891207271873
64.0,0.0466,0.00083772,0.0008318461530391422
65.0,0.0475,0.00083931,0.0008341109033918126
66.0,0.0483,0.00084092,0.0008360814352113432
67.0,0.0491,0.00084255,0.0008380130947806038
68.0,0.05,0.00084408,0.0008401411160796698
69.0,0.0508,0.00084578,0.0008419937665777364
70.0,0.0517,0.00084757,0.0008440355045343575
71.0,0.0525,0.00084935,0.000845813667366043
72.0,0.0534,0.00085116,0.0008477739770778763
73.0,0.0542,0.00085295,0.0008494817744463871
74.0,0.0551,0.00085475,0.000851365089095952
75.0,0.0559,0.00085651,0.0008530062905461875
76.0,0.0568,0.00085809,0.0008548166698451516
77.0,0.0576,0.00085977,0.0008563947321481616
78.0,0.0585,0.00086141,0.0008581359039527631
79.0,0.0594,0.00086299,0.0008598418433803349
80.0,0.0602,0.00086452,0.0008613294016779531
81.0,0.0611,0.00086619,0.0008629712734156595
82.0,0.062,0.00086784,0.00086458047175713
83.0,0.0628,0.00086943,0.0008659841019325884
84.0,0.0637,0.00087095,0.0008675337866685084
85.0,0.0646,0.00087246,0.0008690530713429514
86.0,0.0654,0.00087403,0.000870378614904819
87.0,0.0663,0.00087559,0.000871842441746664
88.0,0.0672,0.0008769,0.0008732778980076509
89.0,0.0681,0.00087828,0.0008746856358316963
90.0,0.069,0.00087968,0.0008760662835580294
91.0,0.0698,0.00088111,0.0008772712738258985
92.0,0.0707,0.00088252,0.0008786023865360962
93.0,0.0716,0.00088399,0.0008799081010390228
94.0,0.0725,0.00088554,0.0008811889635891707
95.0,0.0734,0.00088705,0.0008824455017206249
96.0,0.0743,0.00088849,0.0008836782251121011
97.0,0.0752,0.0008899,0.0008848876264019954
98.0,0.076,0.0008913,0.0008859434561762613
99.0,0.0769,0.0008927,0.0008871100917401799
100.0,0.0778,0.00089385,0.0008882547395096604
101.0,0.0787,0.00089506,0.0008893778327763621
102.0,0.0796,0.00089626,0.0008904797911624135
103.0,0.0805,0.00089742,0.0008915610212027347
104.0,0.0814,0.00089851,0.0008926219168963024
105.0,0.0823,0.0008997,0.0008936628602283352
106.0,0.0832,0.00090091,0.0008946842216652372
107.0,0.0841,0.00090211,0.0008956863606239985
108.0,0.085,0.00090334,0.0008966696259176324
109.0,0.0859,0.00090464,0.0008976343561781099
110.0,0.0868,0.00090595,0.0008985808802581573
111.0,0.0877,0.00090724,0.000899509517613178
112.0,0.0886,0.00090846,0.0009004205786644745
113.0,0.0895,0.00090957,0.0009013143651448732
114.0,0.0905,0.00091064,0.0009022875574849474
115.0,0.0914,0.00091172,0.0009031458290744926
116.0,0.0923,0.0009125,0.0009039877127504268
117.0,0.0932,0.00091342,0.0009048134778180325
118.0,0.0941,0.00091447,0.0009056233864210597
119.0,0.095,0.00091549,0.0009064176937996219
120.0,0.0959,0.00091656,0.0009071966485364356
121.0,0.0969,0.00091758,0.0009080444419386417
122.0,0.0978,0.0009186,0.000908791773255692
123.0,0.0987,0.00091962,0.0009095244852284761
124.0,0.0996,0.00092062,0.0009102428014311436
125.0,0.1005,0.00092161,0.000910946939878924
126.0,0.1015,0.00092266,0.0009117129461583351
127.0,0.1024,0.00092374,0.0009123878457923692
128.0,0.1033,0.00092487,0.0009130492123878063
