t,T,x,xdot
66.41163310961957,169.998,0.01,0.00020764045169471398
161.45434880576798,169.998,0.03,0.00021561789770271843
251.50408110662372,169.99900000000002,0.05,0.00022811039214072344
336.8448108632388,169.99900000000002,0.07,0.00023997592316886746
418.50163170163074,170.0,0.09,0.00025048786180253366
496.66741421843346,170.0,0.11,0.0002599057366983275
572.6682639947711,170.0,0.13,0.00026751247479909487
646.5140345903019,170.00099999999998,0.15,0.00027461469311994177
718.4595100964526,170.00099999999998,0.17,0.00028000943506959185
789.4425691834625,170.00099999999998,0.19,0.0002842555858477027
859.3414451770765,170.00099999999998,0.21,0.0002870852460830818
928.8480194017765,170.00099999999998,0.23,0.00028829161209445437
998.150083977156,170.00099999999998,0.25,0.00028861367302230933
1067.5553455723516,170.00099999999998,0.27,0.00028724858204385694
1137.4011805414182,170.00099999999998,0.29,0.00028519903485685983
1208.0417014178454,170.00099999999998,0.31,0.00028130239803566
1279.7153115100286,170.00099999999998,0.33,0.00027613284284810674
1353.0617710583117,170.0,0.35,0.00026927717325774886
1428.4952238805934,170.0,0.37,0.0002615687639738382
1506.0904015296328,170.0,0.39,0.00025350933324597754
1586.256442888955,169.99900000000002,0.41,0.0002448922077847925
1669.5248454882524,169.99900000000002,0.43,0.0002354120812306781
1756.1955586159354,169.99900000000002,0.45,0.00022579312712650424
1847.0571041948522,169.998,0.47,0.00021524753066629767
1942.38272779151,169.998,0.49,0.00020433474400211542
2043.092995169075,169.998,0.51,0.00019286508129183073
2149.8058873720056,169.997,0.53,0.00018184508574936288
2263.237944664024,169.997,0.55,0.0001704829186360424
2384.7320388349417,169.99599999999998,0.57,0.00015894337549505642
2515.105325443776,169.99599999999998,0.59,0.0001477859206907504
2656.288642186154,169.99564261315115,0.61,0.0001362629565012285
2809.60249609983,169.995,0.63,0.0001247866433057335
2977.3919589392485,169.995,0.65,0.00011367858546643094
3161.9481592787215,169.99400000000003,0.67,0.00010319403613666694
3366.547754585685,169.99400000000003,0.69,9.229960747454229e-05
3596.979961832036,169.99400000000003,0.71,8.181344195960007e-05
3856.019277108407,169.993,0.73,7.262870576010445e-05
4152.659300184132,169.993,0.75,6.255315950981778e-05
4503.720860052769,169.99200000000002,0.77,5.1928128550690954e-05
4937.402002861181,169.99200000000002,0.79,4.0638585725196636e-05
5504.116088328006,169.99200000000002,0.81,3.0265320332665642e-05
6303.872778297367,169.99099999999999,0.83,2.043461867723909e-05
7647.604240282474,169.99099999999999,0.85,1.07213777624038e-05
