t,T,xdot,x,idx
0,453,-0.00016404,0,180
1,453,-0.00014169,-0.0002,180
2,453,-0.00011668,-0.0003,180
3,453,-0.00009083,-0.0004,180
4,453,-0.00006876,-0.0005,180
5,453,-0.00004797,-0.0005,180
6,453,-0.00002811,-0.0006,180
7,453,-0.00000917,-0.0006,180
8,453,0.00000746,-0.0006,180
9,453,0.00002353,-0.0006,180
10,453,0.00003852,-0.0005,180
11,453,0.00005324,-0.0005,180
12,453,0.00006628,-0.0004,180
13,453,0.00007923,-0.0004,180
14,453,0.0000915,-0.0003,180
15,453,0.00010298,-0.0002,180
16,453,0.00011352,-0.0001,180
17,453,0.00012446,0.0001,180
18,453,0.00013449,0.0002,180
19,453,0.00014378,0.0003,180
20,453,0.0001522,0.0005,180
21,453,0.00016091,0.0006,180
22,453,0.00016936,0.0008,180
23,453,0.000177,0.001,180
24,453,0.00018392,0.0011,180
25,453,0.00019101,0.0013,180
26,453,0.00019787,0.0015,180
27,453,0.00020448,0.0017,180
28,453,0.00021023,0.0019,180
29,453,0.00021605,0.0021,180
30,453,0.00022159,0.0024,180
31,453,0.0002269,0.0026,180
32,453,0.0002316,0.0028,180
33,453,0.00023665,0.0031,180
34,453,0.00024156,0.0033,180
35,453,0.00024623,0.0035,180
36,453,0.00025055,0.0038,180
37,453,0.00025491,0.004,180
38,453,0.00025927,0.0043,180
39,453,0.00026362,0.0046,180
40,453,0.00026746,0.0048,180
41,453,0.00027135,0.0051,180
42,453,0.00027503,0.0054,180
43,453,0.00027856,0.0056,180
44,453,0.00028166,0.0059,180
45,453,0.00028475,0.0062,180
46,453,0.0002876,0.0065,180
47,453,0.00029027,0.0068,180
48,453,0.00029216,0.0071,180
49,453,0.00029427,0.0074,180
50,453,0.00029632,0.0077,180
51,453,0.0002983,0.008,180
52,453,0.00029971,0.0083,180
53,453,0.00030136,0.0086,180
54,453,0.00030311,0.0089,180
55,453,0.00030483,0.0092,180
56,453,0.00030618,0.0095,180
57,453,0.00030758,0.0098,180
58,453,0.000309,0.0101,180
59,453,0.00031039,0.0104,180
60,453,0.00031158,0.0107,180
61,453,0.00031285,0.011,180
62,453,0.00031403,0.0113,180
63,453,0.0003152,0.0116,180
64,453,0.00031636,0.012,180
65,453,0.00031745,0.0123,180
66,453,0.00031854,0.0126,180
67,453,0.00031961,0.0129,180
68,453,0.00032056,0.0132,180
69,453,0.00032163,0.0136,180
70,453,0.00032273,0.0139,180
71,453,0.00032382,0.0142,180
72,453,0.00032484,0.0145,180
73,453,0.00032583,0.0149,180
74,453,0.00032677,0.0152,180
75,453,0.00032767,0.0155,180
76,453,0.00032828,0.0158,180
77,453,0.00032898,0.0162,180
78,453,0.00032964,0.0165,180
79,453,0.00033025,0.0168,180
80,453,0.00033072,0.0172,180
81,453,0.00033125,0.0175,180
82,453,0.00033184,0.0178,180
83,453,0.00033245,0.0181,180
84,453,0.00033309,0.0185,180
85,453,0.00033374,0.0188,180
86,453,0.00033442,0.0191,180
87,453,0.00033511,0.0195,180
88,453,0.00033584,0.0198,180
89,453,0.00033641,0.0202,180
90,453,0.00033699,0.0205,180
91,453,0.00033762,0.0208,180
92,453,0.00033812,0.0212,180
93,453,0.00033872,0.0215,180
94,453,0.00033936,0.0218,180
95,453,0.00033999,0.0222,180
96,453,0.00034056,0.0225,180
97,453,0.00034105,0.0229,180
98,453,0.00034163,0.0232,180
99,453,0.00034223,0.0235,180
100,453,0.0003427,0.0239,180
101,453,0.00034327,0.0242,180
102,453,0.00034386,0.0246,180
103,453,0.00034444,0.0249,180
104,453,0.00034515,0.0253,180
105,453,0.00034585,0.0256,180
106,453,0.00034646,0.026,180
107,453,0.00034701,0.0263,180
108,453,0.00034749,0.0267,180
109,453,0.00034809,0.027,180
110,453,0.00034872,0.0273,180
111,453,0.00034934,0.0277,180
112,453,0.00034977,0.028,180
113,453,0.00035019,0.0284,180
114,453,0.00035063,0.0287,180
115,453,0.00035107,0.0291,180
116,453,0.00035119,0.0294,180
117,453,0.0003514,0.0298,180
118,453,0.00035163,0.0302,180
119,453,0.00035193,0.0305,180
120,453,0.00035217,0.0309,180
121,453,0.00035247,0.0312,180
122,453,0.00035283,0.0316,180
123,453,0.00035329,0.0319,180
124,453,0.00035397,0.0323,180
125,453,0.00035456,0.0326,180
126,453,0.00035515,0.033,180
127,453,0.00035563,0.0333,180
128,453,0.00035607,0.0337,180
129,453,0.00035652,0.034,180
130,453,0.00035702,0.0344,180
131,453,0.00035753,0.0348,180
132,453,0.00035787,0.0351,180
133,453,0.00035826,0.0355,180
134,453,0.00035871,0.0358,180
135,453,0.00035918,0.0362,180
136,453,0.00035957,0.0365,180
137,453,0.00035992,0.0369,180
138,453,0.00036028,0.0373,180
139,453,0.00036065,0.0376,180
140,453,0.00036087,0.038,180
141,453,0.00036117,0.0384,180
142,453,0.00036149,0.0387,180
143,453,0.00036184,0.0391,180
144,453,0.00036218,0.0394,180
145,453,0.00036255,0.0398,180
146,453,0.00036296,0.0402,180
147,453,0.00036336,0.0405,180
148,453,0.0003638,0.0409,180
149,453,0.00036424,0.0413,180
150,453,0.00036466,0.0416,180
151,453,0.00036511,0.042,180
152,453,0.00036562,0.0423,180
153,453,0.00036611,0.0427,180
154,453,0.00036657,0.0431,180
155,453,0.00036699,0.0434,180
156,453,0.00036742,0.0438,180
157,453,0.00036787,0.0442,180
158,453,0.00036827,0.0445,180
159,453,0.00036865,0.0449,180
160,453,0.00036889,0.0453,180
161,453,0.00036911,0.0457,180
162,453,0.00036937,0.046,180
163,453,0.00036964,0.0464,180
164,453,0.00036976,0.0468,180
165,453,0.00036997,0.0471,180
166,453,0.00037023,0.0475,180
167,453,0.00037059,0.0479,180
168,453,0.00037106,0.0482,180
169,453,0.00037147,0.0486,180
170,453,0.00037185,0.049,180
171,453,0.00037232,0.0494,180
172,453,0.00037293,0.0497,180
173,453,0.00037343,0.0501,180
174,453,0.00037384,0.0505,180
175,453,0.00037421,0.0509,180
176,453,0.00037458,0.0512,180
177,453,0.00037495,0.0516,180
178,453,0.00037531,0.052,180
